SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
DELHIVERY,458.70,459.55,453.20,459.70,456.00,-,-3.7,-0.8,1432534,65.38,524.00,374.45,-7.35,-1.75
WOCKPHARMA,"1,928.50","1,937.00","1,884.20","1,932.70","1,896.90",-,-35.8,-1.85,342549,65.14,"2,422.30","1,086.70",-0.2,24.39
PGEL,600.10,614.00,594.25,601.00,614.00,-,13.0,2.16,1055830,63.76,644.40,436.55,-0.59,25.4
ANANTRAJ,629.00,634.40,622.75,629.95,624.80,-,-5.15,-0.82,1000410,62.79,743.65,403.00,5.52,16.62
NBCC,89.46,90.26,88.54,89.15,89.75,-,0.75,0.84,6941578,62.15,125.85,77.18,-7.71,-13.25
EMIL,189.44,193.99,187.50,189.44,192.60,-,3.16,1.67,3235362,61.75,196.74,84.90,49.57,61.55
TATATECH,866.00,867.00,837.60,867.90,839.00,-,-28.9,-3.33,724569,61.49,891.00,507.40,10.68,26.48
BATAINDIA,760.00,764.15,740.00,755.70,757.50,-,1.8,0.24,806511,60.82,"1,282.50",605.00,9.24,-27.84
SHILPAMED,822.00,825.00,803.05,822.00,809.00,-,-13.0,-1.58,748269,60.82,825.40,259.50,30.43,78.06
PPLPHARMA,208.00,208.69,203.32,206.64,204.73,-,-1.91,-0.92,2912134,59.89,218.50,132.30,14.11,7.73
RBA,99.50,101.80,97.55,99.08,99.27,-,0.19,0.19,5942014,59.39,103.20,57.15,49.32,25.99
TI,573.75,582.20,566.60,568.75,581.00,-,12.25,2.15,1007098,57.96,583.75,381.55,31.39,15.38
VIYASH,255.00,255.00,245.30,255.65,251.50,-,-4.15,-1.62,2315295,57.83,298.00,167.95,-6.38,43.08
BLS,280.00,282.70,270.60,278.12,274.00,-,-4.12,-1.48,2076768,57.12,392.85,218.90,16.25,-26.53
GMDCLTD,579.00,585.00,570.00,580.80,576.05,-,-4.75,-0.82,986723,57.07,771.90,400.00,-0.94,35.56
SKFINDIA,"1,558.10","1,671.00","1,558.10","1,573.30","1,646.00",-,72.7,4.62,356347,56.61,"5,074.00","1,404.00",11.82,-62.89
URBANCO,144.20,145.60,142.65,144.39,144.65,-,0.26,0.18,3896552,56.18,201.18,100.70,10.97,0.0
RAIN,208.00,209.24,204.21,208.69,206.90,-,-1.79,-0.86,2704223,55.87,252.00,99.90,0.06,33.01
ACUTAAS,"3,262.00","3,263.00","3,162.30","3,235.60","3,190.00",-,-45.6,-1.41,172332,55.16,"3,740.00","1,287.80",-11.86,145.38
STLTECH,648.90,660.00,631.00,647.75,642.00,-,-5.75,-0.89,846417,54.83,683.50,84.60,23.37,376.3
TIMETECHNO,193.00,193.50,188.27,193.27,191.00,-,-2.27,-1.17,2854111,54.67,249.15,154.00,-6.39,-14.28
ARVIND,568.75,569.00,538.15,571.85,555.00,-,-16.85,-2.95,995836,54.67,600.00,274.80,3.55,93.35
MSTCLTD,623.40,657.00,623.00,623.40,655.60,-,32.2,5.17,844307,54.47,743.90,362.15,10.27,47.28
KARURVYSYA,331.75,335.75,326.60,331.75,333.45,-,1.7,0.51,1638570,54.36,351.80,201.82,7.63,55.61
NEOGEN,"2,223.00","2,302.20","2,181.70","2,204.90","2,262.00",-,57.1,2.59,240329,54.26,"2,374.00",966.70,3.97,61.76
CRAFTSMAN,"10,251.00","10,625.00","10,251.00","10,251.00","10,483.00",-,232.0,2.26,51661,54.03,"10,762.00","6,324.00",15.13,47.79
POONAWALLA,499.00,504.95,495.15,497.90,498.15,-,0.25,0.05,1077907,53.92,570.40,361.20,4.37,9.3
CGCL,226.50,228.50,222.22,226.52,227.85,-,1.33,0.59,2365833,53.30,264.53,151.10,-11.13,22.59
RBLBANK,384.90,386.05,381.50,385.00,381.50,-,-3.5,-0.91,1376951,52.83,392.70,243.25,3.64,51.48
JPPOWER,17.39,17.59,17.20,17.39,17.42,-,0.03,0.17,30288768,52.67,24.50,13.15,3.26,-6.14
SKFINDUS,"2,661.80","2,760.00","2,650.50","2,684.70","2,740.00",-,75.3,2.83,189736,51.62,"3,041.00","1,994.10",4.27,0.0
EMMVEE,320.95,326.65,319.00,321.50,321.00,-,-0.5,-0.16,1588227,51.22,371.55,171.51,-6.97,0.0
HBLENGINE,678.30,683.05,666.70,678.50,676.00,-,-2.5,-0.37,755783,50.89,"1,122.00",613.00,-8.88,-11.71
RPOWER,23.06,23.13,22.32,22.98,22.74,-,-0.24,-1.04,22509176,50.87,50.85,20.17,-6.96,-47.48
KPIL,"1,367.20","1,410.00","1,350.10","1,352.20","1,406.00",-,53.8,3.98,358730,49.76,"1,479.60","1,007.10",7.33,14.11
GRAVITA,"1,790.00","1,831.20","1,763.80","1,794.30","1,819.90",-,25.6,1.43,275373,49.65,"1,913.60","1,266.90",0.09,1.97
SAILIFE,"1,448.80","1,454.60","1,409.00","1,449.90","1,420.00",-,-29.9,-2.06,345682,49.34,"1,475.00",783.85,11.64,59.97
TBOTEK,"1,645.60","1,707.00","1,613.70","1,633.30","1,700.10",-,66.8,4.09,291284,49.05,"1,764.80","1,004.20",16.53,17.74
PRIVISCL,"3,510.40","3,510.40","3,426.10","3,482.20","3,444.80",-,-37.4,-1.07,139105,48.23,"3,785.30","2,193.90",-6.3,40.6
TEJASNET,535.20,535.25,521.00,538.50,523.00,-,-15.5,-2.88,906088,47.50,647.00,294.00,-2.95,-5.73
PICCADIL,644.90,699.00,638.70,641.90,698.80,-,56.9,8.86,697629,47.39,809.70,515.00,-4.21,12.62
MTARTECH,"7,100.00","7,198.50","6,900.00","7,056.00","7,075.00",-,19.0,0.27,66761,47.35,"8,714.00","1,390.50",17.02,366.29
LLOYDSENGG,93.54,93.95,91.01,93.53,91.34,-,-2.19,-2.34,5124804,47.11,99.75,37.40,3.14,31.52
IIFL,631.10,634.90,625.00,631.15,628.55,-,-2.6,-0.41,743878,46.90,675.00,409.10,13.21,42.3
ANURAS,"1,210.50","1,222.30","1,192.30","1,209.40","1,195.50",-,-13.9,-1.15,385144,46.40,"1,415.00","1,045.20",-5.68,3.2
THANGAMAYL,"5,454.00","5,480.00","5,286.00","5,427.00","5,329.00",-,-98.0,-1.81,85919,46.26,"7,430.00","1,939.50",-17.2,165.94
BANDHANBNK,174.20,174.20,172.15,174.55,173.25,-,0.2,0.12,2639964,45.63,220.76,134.25,-18.76,6.04
KAJARIACER,"1,259.00","1,261.50","1,234.90","1,253.40","1,255.00",-,1.6,0.13,364900,45.62,"1,309.70",869.60,1.25,-1.01
KIMS,811.00,818.75,799.00,809.10,801.00,-,-8.1,-1.0,566635,45.51,858.00,575.80,-0.24,7.51
OSWALPUMPS,301.00,309.00,296.35,300.50,304.75,-,4.25,1.41,1504978,45.36,888.40,283.10,-23.59,-61.64
AARTIPHARM,860.00,885.00,851.35,851.20,864.00,-,12.8,1.5,520496,45.12,946.10,585.00,22.05,14.05
EPL,245.00,250.43,242.05,244.60,242.35,-,-2.25,-0.92,1824825,44.98,259.83,176.40,1.18,5.26
PRICOLLTD,793.55,808.90,788.45,792.05,806.40,-,14.35,1.81,559472,44.69,808.90,422.90,31.06,88.39
DEVYANI,144.00,145.00,141.62,143.76,143.25,-,-0.51,-0.35,3104617,44.59,191.00,91.55,27.9,-7.69
HCC,19.91,20.55,19.65,19.82,20.50,-,0.68,3.43,22198910,44.51,28.50,13.65,-8.36,-4.87
SCI,292.25,293.40,285.55,292.25,287.00,-,-5.25,-1.8,1543079,44.50,368.75,195.55,1.86,38.23
VARROC,851.60,874.85,842.30,847.90,845.00,-,-2.9,-0.34,508443,43.54,874.85,462.00,30.36,62.55
ASTRAMICRO,"1,747.00","1,754.90","1,701.00","1,739.30","1,705.00",-,-34.3,-1.97,251228,43.13,"1,960.00",851.00,-0.92,69.42
MINDACORP,721.55,732.55,720.00,720.05,725.00,-,4.95,0.69,587785,42.68,769.00,468.50,6.88,46.42
SHYAMMETL,"1,004.00","1,004.80",981.60,999.60,990.00,-,-9.6,-0.96,429812,42.48,"1,090.00",746.00,-3.18,3.42
EMCURE,"1,920.00","1,936.90","1,869.00","1,932.30","1,878.00",-,-54.3,-2.81,220968,41.88,"2,048.00","1,260.00",5.32,29.09
GPPL,159.99,162.38,158.71,158.68,159.83,-,1.15,0.72,2610399,41.83,200.09,141.55,5.69,3.9
ANANDRATHI,"2,198.00","2,200.00","2,167.90","2,174.70","2,173.60",-,-1.1,-0.05,188710,41.12,"2,230.00","1,334.05",4.87,60.39
THELEELA,513.15,520.00,498.10,510.05,504.00,-,-6.05,-1.19,797105,40.23,527.00,384.50,3.78,14.75
AARTIIND,534.10,537.10,523.60,534.10,525.20,-,-8.9,-1.67,754607,39.87,541.70,338.05,6.33,39.64
JSFB,577.50,577.50,541.60,577.75,548.00,-,-29.75,-5.15,714530,39.52,593.00,330.00,11.16,18.77
SAREGAMA,527.45,534.60,515.00,527.30,520.10,-,-7.2,-1.37,754505,39.45,574.50,307.05,5.1,8.41
WEBELSOLAR,83.96,84.94,80.85,85.10,82.40,-,-2.7,-3.17,4771303,39.09,142.51,50.40,-20.99,-39.34
IGIL,352.00,362.55,341.50,345.90,354.95,-,9.05,2.62,1099849,38.75,392.00,287.00,2.48,4.32
GRAPHITE,724.90,735.95,717.75,721.60,731.00,-,9.4,1.3,527724,38.42,802.40,505.80,13.39,36.78
KTKBANK,310.00,310.30,303.55,309.65,304.10,-,-5.55,-1.79,1251381,38.41,316.80,169.12,11.33,79.0
WELCORP,"1,873.30","1,887.10","1,846.00","1,873.30","1,883.50",-,10.2,0.54,202713,37.81,"1,896.00",710.00,19.1,113.49
SENCO,340.00,343.60,333.30,341.85,342.00,-,0.15,0.04,1100322,37.33,430.00,276.00,-6.19,-5.24
ACMESOLAR,373.55,373.55,363.80,374.10,365.00,-,-9.1,-2.43,1019177,37.31,398.65,195.90,-5.26,32.01
CLEAN,829.40,844.40,821.55,821.50,837.90,-,16.4,2.0,445913,37.28,"1,256.80",652.00,12.56,-29.05
CESC,168.99,170.60,168.30,167.83,170.00,-,2.17,1.29,2197565,37.27,204.50,138.12,2.97,4.35
EDELWEISS,122.02,123.44,120.05,121.98,122.51,-,0.53,0.43,3043957,37.25,133.90,93.50,3.08,27.24
SAGILITY,42.28,42.77,42.00,42.28,42.47,-,0.19,0.45,8743424,37.05,57.89,35.83,1.72,-4.3
TITAGARH,831.05,836.60,812.70,831.35,820.55,-,-10.8,-1.3,448731,36.74,971.00,568.70,-4.57,1.26
AVANTIFEED,861.40,878.90,841.10,861.40,878.00,-,16.6,1.93,426130,36.64,"1,593.80",614.25,-14.33,34.85
DIACABS,368.50,374.00,358.00,368.50,361.00,-,-7.5,-2.04,989975,36.47,379.00,115.57,62.33,145.43
STARHEALTH,581.55,587.95,578.75,585.15,583.70,-,-1.45,-0.25,615038,35.95,624.90,416.55,0.13,33.1
OLECTRA,"1,315.00","1,334.60","1,306.90","1,316.90","1,320.50",-,3.6,0.27,271051,35.77,"1,714.20",866.60,-1.95,-10.1
NH,"1,841.00","1,842.20","1,813.00","1,832.60","1,828.00",-,-4.6,-0.25,196058,35.73,"2,093.30","1,589.00",-9.93,0.88
ARE&M,945.95,949.40,938.15,945.95,946.80,-,0.85,0.09,372044,35.10,"1,057.85",670.00,4.34,-0.61
DEEPAKFERT,"1,502.00","1,528.50","1,489.00","1,496.40","1,512.40",-,16.0,1.07,231896,34.89,"1,681.00",866.40,-5.12,4.46
GRANULES,850.00,869.85,838.05,858.40,860.20,-,1.8,0.21,404940,34.65,910.00,452.50,-2.34,87.24
KEC,440.20,441.95,433.35,439.90,436.70,-,-3.2,-0.73,788887,34.36,937.80,433.35,-11.85,-43.91
KRBL,387.60,398.60,380.25,386.40,394.95,-,8.55,2.21,874538,34.16,495.00,274.65,10.17,-15.89
GMMPFAUDLR,"1,065.00","1,079.40","1,041.30","1,048.25","1,056.00",-,7.75,0.74,318946,33.82,"1,310.00",735.00,32.48,-17.08
MGL,"1,139.00","1,152.90","1,121.10","1,138.70","1,134.00",-,-4.7,-0.41,294287,33.21,"1,378.00",900.00,3.05,-13.68
JSLL,521.00,523.00,503.90,521.35,517.75,-,-3.6,-0.69,646563,33.12,849.50,492.00,-8.47,-21.52
SUPRIYA,791.65,806.85,779.85,791.65,782.45,-,-9.2,-1.16,418130,32.87,"1,085.00",545.50,-5.58,20.34
ABFRL,55.90,55.90,54.90,55.98,55.25,-,-0.73,-1.3,5927138,32.71,94.95,53.51,-4.49,-26.33
ASKAUTOLTD,644.60,673.25,633.25,644.70,647.00,-,2.3,0.36,495881,32.39,687.70,375.30,34.2,35.43
TEGA,"1,707.10","1,750.00","1,688.60","1,703.80","1,744.00",-,40.2,2.36,187213,32.22,"2,125.00","1,473.00",7.51,-5.79
ECLERX,"1,891.60","1,891.60","1,829.50","1,897.00","1,849.00",-,-48.0,-2.53,172306,31.96,"2,497.50","1,320.00",-6.61,-7.49
SUMICHEM,568.00,572.05,554.40,564.95,560.50,-,-4.45,-0.79,566775,31.84,617.45,362.60,4.08,-4.42
LEMONTREE,108.92,110.15,108.52,108.92,109.48,-,0.56,0.51,2895272,31.62,180.68,99.61,-2.22,-24.63
CMSINFO,263.55,264.85,252.30,263.45,254.00,-,-9.45,-3.59,1223705,31.32,452.30,252.30,-7.85,-41.7
PVRINOX,"1,173.70","1,208.90","1,165.70","1,174.00","1,195.10",-,21.1,1.8,261706,31.24,"1,249.70",907.40,19.6,10.76
BRIGADE,590.35,600.75,576.00,591.55,592.05,-,0.5,0.08,527798,31.13,802.01,450.75,4.48,-15.81
PRAJIND,335.95,338.50,327.00,335.25,335.00,-,-0.25,-0.07,936149,31.09,433.00,273.00,-3.44,-18.55
ACE,"1,085.00","1,117.10","1,081.70","1,085.60","1,117.00",-,31.4,2.89,280151,30.92,"1,170.00",745.10,13.13,19.8
INDIGOPNTS,"1,161.70","1,211.80","1,155.60","1,148.70","1,161.50",-,12.8,1.11,261404,30.77,"1,345.90",708.05,9.05,4.9
AEQUS,250.00,252.84,247.45,249.64,249.39,-,-0.25,-0.1,1230567,30.73,274.39,113.30,9.2,0.0
ABLBL,88.70,90.53,87.68,88.77,90.00,-,1.23,1.39,3468842,30.65,151.33,87.68,-5.14,-31.78
ENGINERSIN,244.00,245.01,239.04,243.68,240.00,-,-3.68,-1.51,1268614,30.55,267.00,163.55,5.42,26.11
PNBHOUSING,"1,140.00","1,154.00","1,135.20","1,150.50","1,150.80",-,0.3,0.03,264061,30.17,"1,174.80",729.60,4.64,50.04
NAVA,579.80,579.80,555.50,572.65,559.90,-,-12.75,-2.23,530275,29.81,739.40,501.65,-4.58,-3.73
SUNTV,486.65,497.35,485.15,484.60,488.50,-,3.9,0.8,606355,29.76,660.70,475.85,-2.06,-15.02
SWANCORP,304.00,306.50,302.00,304.60,304.50,-,-0.1,-0.03,978187,29.73,506.00,295.65,-1.95,-29.73
GRWRHITECH,"7,140.00","7,140.00","6,983.50","7,088.50","7,009.00",-,-79.5,-1.12,42073,29.65,"7,990.00","2,681.00",0.55,152.73
GSFC,160.50,163.60,159.35,160.25,160.00,-,-0.25,-0.16,1839264,29.61,220.59,138.83,0.53,-21.09
RENUKA,22.05,23.19,21.98,21.95,23.15,-,1.2,5.47,12864772,29.27,33.50,21.05,3.49,-17.56
GOKEX,792.20,809.00,781.10,783.65,805.00,-,21.35,2.72,361997,28.85,954.90,531.00,-2.75,12.6
TECHNOE,969.75,977.90,941.55,968.40,961.00,-,-7.4,-0.76,301073,28.71,"1,575.00",870.00,-7.07,-35.67
KNRCON,131.00,136.67,126.55,132.43,134.00,-,1.57,1.19,2154878,28.37,220.00,108.65,9.33,-32.56
PIRAMALFIN,"2,042.50","2,079.80","2,035.00","2,057.70","2,058.00",-,0.3,0.01,136718,28.22,"2,220.00","1,260.00",-4.02,0.0
LUMAXTECH,"2,040.10","2,074.30","2,026.20","2,025.70","2,045.00",-,19.3,0.95,134817,27.66,"2,110.00",999.90,44.05,103.54
POLYMED,"1,789.90","1,800.10","1,721.90","1,786.20","1,741.00",-,-45.2,-2.53,157632,27.57,"2,144.90","1,182.00",3.6,-8.48
AXISCADES,"1,480.00","1,585.90","1,480.00","1,484.80","1,558.00",-,73.2,4.93,176263,27.37,"2,211.00","1,063.30",0.65,28.68
JUBLPHARMA,865.80,878.00,847.85,865.80,864.70,-,-1.1,-0.13,309691,26.74,"1,184.80",786.05,-15.44,-18.12
PFIZER,"4,860.10","4,930.20","4,810.00","4,874.80","4,839.00",-,-35.8,-0.73,54880,26.65,"5,873.50","4,360.10",5.96,-9.18
V2RETAIL,216.00,219.50,215.00,216.40,219.20,-,2.8,1.29,1215948,26.46,259.25,158.56,-0.87,27.61
JAINREC,293.00,303.00,293.00,293.40,302.50,-,9.1,3.1,876641,26.21,593.95,247.57,-8.0,0.0
JMFINANCIL,126.11,128.40,125.27,126.43,128.01,-,1.58,1.25,2060583,26.19,199.80,112.00,3.03,-31.14
BBOX,798.20,801.00,765.00,795.85,776.00,-,-19.85,-2.49,335756,26.08,"1,103.00",435.05,-6.0,64.77
EIDPARRY,775.45,794.05,774.25,775.20,792.00,-,16.8,2.17,329825,26.04,"1,196.40",698.20,5.46,-31.88
GODREJAGRO,586.00,601.20,578.85,580.50,593.00,-,12.5,2.15,439383,25.97,782.00,506.10,4.44,-21.2
SOUTHBANK,46.00,46.09,45.10,45.74,45.25,-,-0.49,-1.07,5696877,25.86,49.90,28.11,1.46,54.44
CARTRADE,"2,792.00","2,802.50","2,772.40","2,797.80","2,800.00",-,2.2,0.08,92340,25.76,"3,290.50","1,600.00",3.73,20.64
AFFLE,"1,668.60","1,714.70","1,651.00","1,668.80","1,714.00",-,45.2,2.71,151323,25.55,"2,185.90","1,251.30",11.84,-12.76
LALPATHLAB,"1,931.00","1,931.00","1,870.10","1,916.30","1,872.00",-,-44.3,-2.31,134988,25.51,"1,988.90","1,272.60",10.94,11.83
FIEMIND,"2,338.80","2,352.00","2,261.50","2,350.40","2,273.00",-,-77.4,-3.29,110074,25.44,"2,674.80","1,815.00",0.04,24.1
CASTROLIND,186.95,187.82,186.48,186.82,187.55,-,0.73,0.39,1353498,25.36,211.40,170.10,1.68,-8.64
RATEGAIN,942.70,955.50,930.30,942.60,950.65,-,8.05,0.85,267690,25.30,"1,050.00",437.00,-0.01,94.57
CAPLIPOINT,"2,482.90","2,530.10","2,441.40","2,480.50","2,525.00",-,44.5,1.79,99795,24.76,"2,699.00","1,500.30",-3.41,18.26
TRITURBINE,589.10,600.05,581.85,592.40,598.70,-,6.3,1.06,416501,24.73,787.60,428.35,-2.69,17.09
ABREL,"1,414.90","1,443.80","1,378.70","1,402.90","1,400.10",-,-2.8,-0.2,174072,24.43,"1,965.30","1,080.10",-3.35,-21.13
IGL,149.00,153.00,147.65,151.70,151.42,-,-0.28,-0.18,1601877,23.97,223.50,141.74,-1.1,-25.81
ZFCVINDIA,"2,636.00","2,636.00","2,608.00","2,636.70","2,625.00",-,-11.7,-0.44,91005,23.86,"3,044.00","2,050.33",8.91,14.64
SAATVIKGL,401.00,408.30,384.70,427.40,405.70,-,-21.7,-5.08,601340,23.73,567.00,328.00,-13.01,0.0
SHAILY,"3,365.00","3,433.20","3,358.60","3,365.00","3,381.20",-,16.2,0.48,69651,23.70,"3,615.20","1,770.90",22.48,84.4
LOTUSDEV,170.97,174.50,169.00,172.45,169.00,-,-3.45,-2.0,1353967,23.30,207.50,102.20,20.76,-9.89
NAZARA,356.05,357.00,349.10,355.90,349.30,-,-6.6,-1.85,659087,23.28,362.00,215.70,14.66,-1.23
CEATLTD,"3,700.00","3,704.70","3,600.00","3,688.80","3,613.00",-,-75.8,-2.05,63148,22.91,"4,438.00","3,000.50",1.78,16.87
PTC,162.16,163.44,160.00,161.47,160.45,-,-1.02,-0.63,1418832,22.84,229.51,149.59,-5.1,-13.96
PARADEEP,148.00,149.35,145.51,147.85,147.48,-,-0.37,-0.25,1552726,22.80,232.22,99.70,5.15,-26.29
NEWGEN,537.80,539.00,525.55,535.15,534.20,-,-0.95,-0.18,427348,22.76,"1,041.95",401.05,-2.44,-39.74
GABRIEL,"1,469.50","1,469.50","1,420.20","1,459.00","1,442.10",-,-16.9,-1.16,156673,22.56,"1,600.00",795.70,7.89,34.11
AKUMS,726.60,749.60,715.10,726.60,742.95,-,16.35,2.25,304026,22.54,775.00,409.30,11.73,57.86
ZENSARTECH,491.70,495.85,483.90,490.80,491.20,-,0.4,0.08,460647,22.53,868.95,423.00,-5.2,-38.84
JAYNECOIND,88.93,89.49,86.75,88.93,88.65,-,-0.28,-0.31,2570017,22.52,117.00,56.71,-1.81,54.33
SARDAEN,531.15,531.15,518.40,531.15,520.00,-,-11.15,-2.1,426925,22.31,639.75,453.10,4.1,-6.16
RAMCOCEM,917.00,926.20,905.05,907.20,921.00,-,13.8,1.52,242347,22.21,"1,214.50",838.30,0.13,-13.66
CHOLAHLDNG,"1,610.00","1,610.00","1,540.70","1,597.20","1,578.00",-,-19.2,-1.2,141204,22.12,"2,064.00","1,305.00",0.28,-16.23
JWL,250.00,253.95,247.00,256.50,253.90,-,-2.6,-1.01,865865,21.75,372.85,235.65,-0.16,-19.19
SHRIPISTON,"4,492.40","4,525.00","4,401.00","4,492.40","4,454.30",-,-38.1,-0.85,48722,21.73,"4,588.00","2,444.80",6.82,81.1
ALIVUS,"1,386.70","1,409.30","1,362.70","1,386.70","1,395.00",-,8.3,0.6,155507,21.68,"1,418.00",819.00,23.09,47.76
MANYAVAR,530.00,545.00,521.00,528.75,543.85,-,15.1,2.86,401341,21.44,796.55,329.20,36.23,-26.86
ASAHIINDIA,945.80,955.00,927.00,939.20,934.00,-,-5.2,-0.55,225800,21.18,"1,074.00",775.10,5.99,11.59
CROMPTON,248.05,249.40,245.10,248.30,246.50,-,-1.8,-0.72,848001,20.89,337.50,217.40,-3.9,-22.92
WEWORK,720.00,727.00,703.10,708.50,703.10,-,-5.4,-0.76,290990,20.79,794.50,420.00,3.71,0.0
AGARWALEYE,508.50,508.50,496.60,506.50,499.00,-,-7.5,-1.48,411185,20.69,568.00,401.00,2.7,6.42
CYIENT,865.00,870.00,847.00,867.05,868.00,-,0.95,0.11,237665,20.37,"1,284.70",750.30,1.65,-26.0
IKS,"1,849.90","1,854.00","1,828.00","1,840.00","1,828.10",-,-11.9,-0.65,110946,20.36,"1,933.00","1,262.00",-3.64,17.31
SUNDRMFAST,"1,225.00","1,237.20","1,208.75","1,217.60","1,214.80",-,-2.8,-0.23,165656,20.15,"1,243.35",730.10,25.84,27.85
BLUEJET,587.15,596.75,582.40,584.50,591.75,-,7.25,1.24,340303,20.14,802.05,325.00,1.23,-24.98
ABDL,601.90,611.90,593.20,599.45,611.00,-,11.55,1.93,333738,20.12,711.70,382.10,-0.9,24.26
INDIAMART,"1,789.90","1,804.60","1,766.00","1,789.90","1,769.90",-,-20.0,-1.12,113085,20.05,"2,685.00","1,730.00",-7.34,-30.48
TANLA,582.00,585.35,570.05,582.05,573.45,-,-8.6,-1.48,347216,19.96,766.00,365.90,-1.9,-5.85
VIJAYA,"1,469.90","1,515.00","1,466.80","1,474.10","1,510.00",-,35.9,2.44,130297,19.50,"1,573.00",848.00,12.58,43.37
MSUMI,40.25,40.64,40.00,40.35,40.39,-,0.04,0.1,4799817,19.33,53.59,35.70,0.12,6.88
IDBI,82.20,82.33,81.41,82.45,82.18,-,-0.27,-0.33,2358677,19.31,118.38,61.01,-5.56,-5.92
SKIPPER,525.35,535.80,516.55,525.35,530.55,-,5.2,0.99,364941,19.18,593.00,327.05,-1.53,1.57
ATUL,"6,738.50","6,850.00","6,705.50","6,729.00","6,735.00",-,6.0,0.09,28126,19.01,"7,180.00","5,560.50",9.52,6.08
BSOFT,312.00,312.95,305.70,312.05,311.75,-,-0.3,-0.1,614590,18.97,474.00,270.20,8.23,-15.55
LLOYDSENT,76.50,76.74,74.52,76.49,75.85,-,-0.64,-0.84,2487907,18.78,84.70,40.69,-2.63,4.13
PGIL,"2,480.00","2,480.00","2,357.00","2,474.60","2,380.00",-,-94.6,-3.82,78069,18.73,"2,539.60","1,178.10",16.59,89.37
CHOICEIN,804.95,808.80,800.95,804.35,803.00,-,-1.35,-0.17,231474,18.62,860.50,568.70,-0.72,0.16
THYROCARE,630.00,630.00,610.10,624.05,620.00,-,-4.05,-0.65,299783,18.52,662.00,342.55,19.09,34.42
SOBHA,"1,328.20","1,345.80","1,305.10","1,328.20","1,322.00",-,-6.2,-0.47,140095,18.41,"1,732.00","1,130.00",-9.58,-13.83
AVL,629.65,629.65,596.15,624.65,616.00,-,-8.65,-1.38,302890,18.39,705.00,420.00,-2.89,44.96
SHAKTIPUMP,500.30,505.55,494.50,500.30,504.50,-,4.2,0.84,367406,18.38,915.00,456.35,-7.71,-41.68
TATACHEM,670.20,671.20,661.40,670.65,663.90,-,-6.75,-1.01,271373,18.05,"1,026.65",580.30,-4.95,-28.88
DYNAMATECH,"11,145.00","11,388.00","10,996.00","11,188.00","11,123.00",-,-65.0,-0.58,16143,17.98,"12,875.00","6,320.00",7.9,72.64
ASHAPURMIN,603.45,617.45,602.15,603.45,614.70,-,11.25,1.86,293961,17.96,924.90,455.10,-10.87,23.67
FIVESTAR,549.00,549.00,532.00,550.20,537.20,-,-13.0,-2.36,333764,17.94,666.00,338.15,-3.68,-8.28
NCC,140.65,140.88,138.25,140.65,139.52,-,-1.13,-0.8,1284811,17.87,223.10,130.00,-0.06,-36.13
AEGISVOPAK,269.10,272.25,262.95,269.10,269.80,-,0.7,0.26,667513,17.85,311.49,158.00,-0.53,12.53
APTUS,249.05,256.95,246.45,250.50,255.50,-,5.0,2.0,704661,17.76,364.00,193.03,-16.73,-28.23
RAYMONDLSL,737.60,767.00,737.60,741.20,760.10,-,18.9,2.55,229694,17.42,"1,350.00",677.00,4.94,-26.35
REFEX,295.75,309.40,295.75,297.25,302.00,-,4.75,1.6,571700,17.41,415.00,188.00,-1.56,-15.76
IEX,124.75,125.49,123.78,124.75,125.30,-,0.55,0.44,1388624,17.32,160.27,114.60,2.04,-10.67
BALAMINES,"2,133.80","2,160.40","2,109.70","2,133.80","2,132.00",-,-1.8,-0.08,81358,17.31,"2,443.60",968.10,-6.86,37.65
WAKEFIT,122.00,127.77,120.02,121.38,124.52,-,3.14,2.59,1384971,17.27,224.00,111.40,-4.28,0.0
KIRLPNU,"1,550.00","1,552.00","1,514.20","1,524.70","1,533.30",-,8.6,0.56,112018,17.19,"2,197.10",990.10,-9.59,18.72
TARIL,298.30,299.55,294.90,298.05,296.00,-,-2.05,-0.69,564398,16.72,552.00,224.05,-10.98,-41.47
RAINBOW,"1,423.80","1,485.20","1,423.80","1,461.80","1,480.00",-,18.2,1.25,112226,16.43,"1,610.00","1,084.00",-0.9,-4.67
PCBL,309.90,316.75,308.15,309.80,316.25,-,6.45,2.08,522885,16.33,425.95,226.50,-1.42,-16.4
ONESOURCE,"1,557.50","1,573.40","1,533.10","1,559.20","1,550.30",-,-8.9,-0.57,104753,16.32,"1,925.00","1,057.00",-6.22,-17.41
CHAMBLFERT,446.95,446.95,437.00,442.70,439.00,-,-3.7,-0.84,369715,16.25,580.70,399.75,-3.37,-16.95
SAPPHIRE,236.00,236.45,231.53,234.72,235.49,-,0.77,0.33,692764,16.25,347.90,139.91,29.33,-23.12
STAR,965.00,992.90,965.00,967.80,989.60,-,21.8,2.25,165364,16.22,"1,231.00",768.65,-7.94,10.55
EMAMILTD,403.00,407.00,401.05,403.30,404.55,-,1.25,0.31,400991,16.20,634.20,376.40,-1.2,-30.53
YATHARTH,850.05,853.35,837.25,844.70,842.00,-,-2.7,-0.32,191341,16.15,919.50,538.25,-0.24,18.2
