SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
SAFARI,"1,491.40","1,503.70","1,479.60","1,498.50","1,499.50",-,1.0,0.07,21975,3.28,"2,507.10","1,363.10",-8.59,-27.02
HATSUN,995.00,995.00,959.20,980.80,971.00,-,-9.8,-1.0,32908,3.19,"1,179.00",855.30,4.67,10.35
SUNTECK,299.00,300.80,294.00,299.05,298.00,-,-1.05,-0.35,101450,3.02,473.00,270.75,-5.11,-20.76
CANHLIFE,147.57,149.99,146.02,148.71,148.87,-,0.16,0.11,197635,2.94,166.69,106.00,-0.58,0.0
ITI,276.25,278.70,274.05,276.75,278.45,-,1.7,0.61,103006,2.84,372.85,237.00,-2.13,-4.41
ALOKINDS,11.62,11.66,11.50,11.62,11.54,-,-0.08,-0.69,2443847,2.82,19.34,11.11,-6.33,-35.35
TSFINV,415.50,423.90,409.60,415.45,420.60,-,5.15,1.24,66947,2.78,701.50,331.70,-10.59,-12.34
REDTAPE,123.25,123.50,120.85,122.19,121.80,-,-0.39,-0.32,227398,2.76,163.50,107.53,-9.13,1.03
NESCO,"1,038.00","1,050.00","1,028.20","1,038.00","1,049.90",-,11.9,1.15,26304,2.73,"1,638.90",996.00,-4.03,-22.57
NFL,71.50,71.95,71.20,71.81,71.50,-,-0.31,-0.43,371304,2.65,102.97,63.35,-1.46,-22.09
CENTURYPLY,761.95,761.95,748.00,756.55,755.90,-,-0.65,-0.09,35006,2.63,859.00,618.50,-5.04,3.77
BIKAJI,614.00,616.20,611.30,613.30,614.70,-,1.4,0.23,42552,2.61,818.70,592.55,-3.71,-14.89
BLUEDART,"5,141.00","5,148.50","5,085.00","5,141.00","5,111.50",-,-29.5,-0.57,4543,2.32,"7,036.00","4,628.50",3.76,-12.71
GALLANTT,586.45,588.45,578.40,582.05,585.20,-,3.15,0.54,39527,2.30,948.00,496.25,-10.2,-10.63
RTNINDIA,29.99,30.60,29.95,30.05,30.58,-,0.53,1.76,759416,2.30,64.00,24.40,-3.84,-39.98
METROBRAND,947.90,951.90,940.00,944.10,943.00,-,-1.1,-0.12,24131,2.28,"1,340.40",883.00,-11.98,-14.31
SUBROS,758.25,765.00,752.05,758.25,765.00,-,6.75,0.89,29322,2.22,"1,213.70",622.10,-4.86,-4.15
RSYSTEMS,241.50,242.25,238.10,241.80,241.05,-,-0.75,-0.31,91457,2.20,496.90,213.52,-5.5,-44.39
ORIENTCEM,132.00,132.37,130.35,132.55,132.05,-,-0.5,-0.38,166609,2.19,244.37,122.32,-3.93,-43.52
KANSAINER,205.60,207.64,204.15,204.75,205.51,-,0.76,0.37,95977,1.97,264.00,157.91,2.1,-12.72
MAHSCOOTER,"13,399.00","13,527.00","13,230.00","13,330.00","13,380.00",-,50.0,0.38,1471,1.97,"18,538.00","10,901.00",2.9,-15.25
JSWHL,"11,956.00","12,075.00","11,749.00","11,874.00","11,818.00",-,-56.0,-0.47,1281,1.52,"22,790.00","10,530.00",7.62,-32.93
BIRLACORPN,903.05,904.90,894.05,904.90,899.35,-,-5.55,-0.61,14062,1.26,"1,346.10",769.60,-11.41,-29.27
